rank,domain,score,send,areas,n_emailable,headline,brand,operator,email,mail_problem,licence,licence_status,source
1,luckybet.co,17,no address,asset+broken,2,"20 request(s) fail on the homepage, on a third-party host — the fix belongs to their platform vendor",LuckyBet,LBC Enterprises B.V.,,no address,OGL/2024/1221/0500,assessment in progress,curacao
2,race365.com,17,SEND,asset+broken,2,"15 request(s) fail on the homepage, on a third-party host — the fix belongs to their platform vendor",Race365,Superstars Entertainment B.V.,partner@race365.com,,OGL/2024/1296/0547,active,curacao
3,casinonavy.com,16,SEND,broken,1,"8 request(s) fail on the homepage, 1 on their own domain, 7 on a third-party host",Homepage,JMS Investment Group N.V.,support@casinonavy.com,,OGL/2024/675/0939,active,curacao
4,donebets.com,16,no address,broken,1,"11 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,,no address,ALSI-202604027-FI2,,anjouan
5,fatbets.com,16,address is on a different company's domain (gamdom.com) — confirm the pairing by hand first,broken,1,"9 request(s) fail on the homepage, on their own domain",Gamdom,Fatbets Ltd,support@gamdom.com,address is on a different company's domain (gamdom.com) — confirm the pairing by hand first,ALSI-202508054-FI2,,anjouan
6,jon.bet,16,SEND,broken,1,"20 request(s) fail on the homepage, on their own domain",jon,Ascend Entertainment N.V.,partners@jonbet.com,,OGL/2024/1467/0728,assessment in progress,curacao
7,jonbet.io,16,duplicate mailbox,broken,1,"20 request(s) fail on the homepage, on their own domain",jonbet,Ascend Entertainment N.V.,partners@jonbet.com,,OGL/2024/1467/0728,assessment in progress,curacao
8,metaigaming.io,16,no address,broken,1,"20 request(s) fail on the homepage, on their own domain",Meta System,Middle Kang B.V.,,no address,OGL/2024/2267/1181,assessment in progress,curacao
9,parolambet.com,16,no address,broken,1,"10 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,,no address,ALSI-202604027-FI2,,anjouan
10,winup.io,16,SEND,broken,1,"20 request(s) fail on the homepage, 5 on their own domain, 15 on a third-party host",Winup,3-102-952740 SRL,support@winup.io,,ALSI-202601062-FI2,,anjouan
11,jurassino.com,15,no address,broken,1,"6 request(s) fail on the homepage, on their own domain",jurassino,GTW B.V.,,no address,OGL/2024/250/0115,assessment in progress,curacao
12,casshiva.com,14,no address,broken,1,"5 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,,no address,ALSI-202604027-FI2,,anjouan
13,sporttyp.com,13,no address,broken,1,"4 request(s) fail on the homepage, on their own domain",Sporttyp,Delphin Blue Ocean B.V.,,no address,OGL/2024/657/0248,active,curacao
14,xtp.com,13,no address,broken,1,"20 request(s) fail on the homepage, on a third-party host — the fix belongs to their platform vendor",XTP,Entretenimiento Rojo B.V.,,no address,OGL/2024/1100/0505,assessment in progress,curacao
15,9winz.com,12,SEND,broken,1,"12 request(s) fail on the homepage, on their own domain",winz,Globis N.V.,aff@9winz.com,,OGL/2024/1194/0723,active,curacao
16,auro777.win,12,no address,broken,1,"3 request(s) fail on the homepage, 2 on their own domain, 1 on a third-party host",auro,Mirth B.V.,,no address,OGL/2024/1124/0444,active,curacao
17,betitor.com,12,SEND,broken,1,"7 request(s) fail on the homepage, 6 on their own domain, 1 on a third-party host",Betitor,3-102-941073 SRL,support@betitor.com,,ALSI-202509018-FI1,,anjouan
18,cm88.com,12,no address,broken,1,"3 request(s) fail on the homepage, 1 on their own domain, 2 on a third-party host",CM88,Cyber Labs B.V.,,no address,OGL/2024/1696/1055,active,curacao
19,coinebet.com,12,no address,broken,1,"3 request(s) fail on the homepage, on their own domain",coinebet,Rail Solutions Group B.V.,,no address,OGL/2024/788/0550,assessment in progress,curacao
20,godbunny.com,12,no address,broken,1,"20 request(s) fail on the homepage, 1 on their own domain, 19 on a third-party host",GodBunny,Godbunny B.V.,,no address,OGL/2024/199/0868,active,curacao
21,kaahaus.com,12,address is on a different company's domain (fruitypartners.com) — confirm the pairing by hand first,broken,1,"3 request(s) fail on the homepage, on their own domain",Tervetuloa Kaahaus Kasinolle,Fruity Entertainment N.V.,contact@fruitypartners.com,address is on a different company's domain (fruitypartners.com) — confirm the pairing by hand first,OGL/2024/1487/0729,assessment in progress,curacao
22,keeponwin.com,12,SEND,broken,1,"7 request(s) fail on the homepage, on their own domain",Keep On Win,Keep On Entertainment N.V.,support@keeponwin.com,,OGL/2024/2279/1202,active,curacao
23,nicewinz.com,12,SEND,broken,1,"20 request(s) fail on the homepage, on their own domain",NiceWin,Glory Multimedia B.V.,info@nicewinz.com,,OGL/2024/1600/0861,assessment in progress,curacao
24,nolimit.bet,12,address is on a different company's domain (herogaming.com) — confirm the pairing by hand first,broken,1,"3 request(s) fail on the homepage, on their own domain",UnlimitedBet,NovaWave Technology N.V.,affiliates@herogaming.com,address is on a different company's domain (herogaming.com) — confirm the pairing by hand first,OGL/2024/547/0446,active,curacao
25,sc88.co,12,no address,broken,1,"3 request(s) fail on the homepage, 1 on their own domain, 2 on a third-party host",SC88,Cyber Labs B.V.,,no address,OGL/2024/1696/1055,active,curacao
26,spinay.com,12,SEND,broken,1,"8 request(s) fail on the homepage, on their own domain",Spinay,Oranox Ltd,support@spinay.com,,ALSI-202601012-FI1,,anjouan
